instance,solver,secs,rss_mb,iterations,gap,status
power.mps,highs,0.05731581699956223,0.086016,nan,0.0,Unknown
power.mps,highs,0.06076219399983529,0.086016,nan,0.0,Unknown
power.mps,highs,0.058884688999569335,0.094208,nan,0.0,Unknown
power.mps,glpk,0.06394956900021498,0.086016,nan,0.0,Unknown
power.mps,glpk,0.06034592600008182,0.086016,nan,0.0,Unknown
power.mps,glpk,0.06047809400024562,0.086016,nan,0.0,Unknown
power.mps,clp,0.0593831199998931,0.094208,nan,0.0,Unknown
power.mps,clp,0.05995119599992904,0.090112,nan,0.0,Unknown
power.mps,clp,0.059972710000238294,0.086016,nan,0.0,Unknown
share2b.mps,highs,0.06005236800001512,0.086016,nan,0.0,Unknown
share2b.mps,highs,0.0630257799998617,0.090112,nan,0.0,Unknown
share2b.mps,highs,0.057968186999914906,0.086016,nan,0.0,Unknown
share2b.mps,glpk,0.06315455200001452,0.086016,nan,0.0,Unknown
share2b.mps,glpk,0.0638480200000231,0.090112,nan,0.0,Unknown
share2b.mps,glpk,0.060805995000009716,0.086016,nan,0.0,Unknown
share2b.mps,clp,0.06498697600000014,0.086016,nan,0.0,Optimal
share2b.mps,clp,0.06510660399999324,0.086016,nan,0.0,Optimal
share2b.mps,clp,0.0591744620001009,0.086016,nan,0.0,Optimal
pilot.mps,highs,1.50523549799982,21.05344,nan,0.0,Unknown
pilot.mps,highs,1.516515408000032,21.929984,nan,0.0,Unknown
pilot.mps,highs,1.507794777000072,22.028288,nan,0.0,Unknown
pilot.mps,glpk,0.06057121599997117,0.086016,nan,0.0,Unknown
pilot.mps,glpk,0.0657823209999151,0.086016,nan,0.0,Unknown
pilot.mps,glpk,0.06362812699990172,0.086016,nan,0.0,Unknown
pilot.mps,clp,1.2951475449999634,16.883712,nan,0.0,Optimal
pilot.mps,clp,1.1827760430001035,17.26464,nan,0.0,Optimal
pilot.mps,clp,1.191556558999764,17.494016,nan,0.0,Optimal
adlittle.mps,highs,0.060201070999937656,0.090112,nan,0.0,Unknown
adlittle.mps,highs,0.06315480700004628,0.086016,nan,0.0,Unknown
adlittle.mps,highs,0.057646465999823704,0.086016,nan,0.0,Unknown
adlittle.mps,glpk,0.0623652869999205,0.086016,nan,0.0,Unknown
adlittle.mps,glpk,0.06112554399987857,0.086016,nan,0.0,Unknown
adlittle.mps,glpk,0.06142226000019946,0.094208,nan,0.0,Unknown
adlittle.mps,clp,0.0593873809998513,0.086016,nan,0.0,Optimal
adlittle.mps,clp,0.06025496899974314,0.086016,nan,0.0,Optimal
adlittle.mps,clp,0.05852873699996053,0.086016,nan,0.0,Optimal
afiro.mps,highs,0.059298174000105064,0.094208,nan,0.0,Unknown
afiro.mps,highs,0.05909877000021879,0.086016,nan,0.0,Unknown
afiro.mps,highs,0.06129736100001537,0.086016,nan,0.0,Unknown
afiro.mps,glpk,0.06334616100002677,0.086016,nan,0.0,Unknown
afiro.mps,glpk,0.0645591800002876,0.086016,nan,0.0,Unknown
afiro.mps,glpk,0.057735586000035255,0.086016,nan,0.0,Unknown
afiro.mps,clp,0.05577123800003392,0.094208,nan,0.0,Optimal
afiro.mps,clp,0.05878375899965249,0.086016,nan,0.0,Optimal
afiro.mps,clp,0.05782617099976051,0.086016,nan,0.0,Optimal
pds-20.mps,highs,2.9495085150001614,104.935424,nan,0.0,Unknown
pds-20.mps,highs,2.806243514000016,111.255552,nan,0.0,Unknown
pds-20.mps,highs,3.0194005250000373,104.81664,nan,0.0,Unknown
pds-20.mps,glpk,0.05734132399993541,0.086016,nan,0.0,Unknown
pds-20.mps,glpk,0.05984741500014934,0.090112,nan,0.0,Unknown
pds-20.mps,glpk,0.05701837300011903,0.086016,nan,0.0,Unknown
pds-20.mps,clp,2.214846357999704,83.714048,nan,0.0,Optimal
pds-20.mps,clp,2.155701764999776,84.353024,nan,0.0,Optimal
pds-20.mps,clp,2.1041598289998547,84.45952,nan,0.0,Optimal
railway.mps,highs,0.06082736400003341,0.073728,nan,0.0,Unknown
railway.mps,highs,0.06159337500002948,0.086016,nan,0.0,Unknown
railway.mps,highs,0.05963447299973268,0.086016,nan,0.0,Unknown
railway.mps,glpk,0.06069156700004896,0.086016,nan,0.0,Unknown
railway.mps,glpk,0.05882556400001704,0.086016,nan,0.0,Unknown
railway.mps,glpk,0.062407090999840875,0.090112,nan,0.0,Unknown
railway.mps,clp,0.061255934000200796,0.086016,nan,0.0,Unknown
railway.mps,clp,0.06129130600038479,0.086016,nan,0.0,Unknown
railway.mps,clp,0.058492338999712956,0.086016,nan,0.0,Unknown
ship08s.mps,highs,0.058265569000013784,0.086016,nan,0.0,Unknown
ship08s.mps,highs,0.06010604999983116,0.086016,nan,0.0,Unknown
ship08s.mps,highs,0.05650174900029015,0.086016,nan,0.0,Unknown
ship08s.mps,glpk,0.05953858199973183,0.086016,nan,0.0,Unknown
ship08s.mps,glpk,0.0596991520001211,0.086016,nan,0.0,Unknown
ship08s.mps,glpk,0.058908552000048076,0.094208,nan,0.0,Unknown
ship08s.mps,clp,0.05911483399995632,0.090112,nan,0.0,Optimal
ship08s.mps,clp,0.05997317199989993,0.086016,nan,0.0,Optimal
